date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/29/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,"4,256,619","$635,002,422.42",8.60%
10/29/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,"4,060,419","$392,845,538.25",5.32%
10/29/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"14,486,879","$386,654,800.51",5.23%
10/29/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,"4,800,441","$268,728,687.18",3.64%
10/29/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,"2,209,428","$268,799,010.48",3.64%
10/29/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,"1,463,487","$266,354,634.00",3.61%
10/29/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,"8,528,610","$266,092,632.00",3.60%
10/29/2021,ARKG,"CAREDX INC",CDNA,14167L103,"3,524,388","$247,905,451.92",3.36%
10/29/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"1,714,487","$233,358,825.57",3.16%
10/29/2021,ARKG,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"15,811,769","$225,792,061.32",3.06%
10/29/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,"5,594,707","$223,788,280.00",3.03%
10/29/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,"2,267,440","$213,728,894.40",2.89%
10/29/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"2,210,846","$207,819,524.00",2.81%
10/29/2021,ARKG,"INCYTE CORP",INCY,45337C102,"2,878,413","$189,226,870.62",2.56%
10/29/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,"296,342","$185,270,054.98",2.51%
10/29/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,"13,029,350","$183,844,128.50",2.49%
10/29/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,"5,188,543","$179,264,160.65",2.43%
10/29/2021,ARKG,"CODEXIS INC",CDXS,192005106,"4,886,840","$170,208,637.20",2.30%
10/29/2021,ARKG,"INVITAE CORP",NVTA,46185L103,"6,044,934","$167,384,222.46",2.27%
10/29/2021,ARKG,"UIPATH INC - CLASS A",PATH,90364P105,"2,940,336","$150,515,799.84",2.04%
10/29/2021,ARKG,"SIGNIFY HEALTH INC -CLASS A",SGFY,82671G100,"9,021,353","$147,138,267.43",1.99%
10/29/2021,ARKG,"IOVANCE BIOTHERAPEUTICS INC",IOVA,462260100,"5,652,843","$142,734,285.75",1.93%
10/29/2021,ARKG,"VEEVA SYSTEMS INC-CLASS A",VEEV,922475108,"438,326","$137,748,328.76",1.86%
10/29/2021,ARKG,"ARCTURUS THERAPEUTICS HOLDIN","ARCT UQ",03969T109,"2,837,373","$134,463,106.47",1.82%
10/29/2021,ARKG,"CASTLE BIOSCIENCES INC",CSTL,14843C105,"2,060,421","$131,640,297.69",1.78%
10/29/2021,ARKG,"SCHRODINGER INC",SDGR,80810D103,"2,171,487","$119,692,363.44",1.62%
10/29/2021,ARKG,"VERACYTE INC",VCYT,92337F107,"2,173,721","$107,055,759.25",1.45%
10/29/2021,ARKG,"PERSONALIS INC",PSNL,71535D106,"5,278,345","$104,933,498.60",1.42%
10/29/2021,ARKG,"10X GENOMICS INC-CLASS A",TXG,88025U109,"631,759","$103,880,132.37",1.41%
