date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/29/2021,ARKQ,"TESLA INC",TSLA,88160R101,"293,578","$316,195,249.12",11.94%
10/29/2021,ARKQ,"TRIMBLE INC",TRMB,896239100,"2,095,631","$183,786,838.70",6.94%
10/29/2021,ARKQ,"UNITY SOFTWARE INC",U,91332U101,"1,152,664","$170,674,958.48",6.45%
10/29/2021,ARKQ,"KRATOS DEFENSE & SECURITY",KTOS,50077B207,"7,861,934","$170,210,871.10",6.43%
10/29/2021,ARKQ,"UIPATH INC - CLASS A",PATH,90364P105,"3,222,961","$164,983,373.59",6.23%
10/29/2021,ARKQ,"IRIDIUM COMMUNICATIONS INC",IRDM,46269C102,"2,867,815","$115,286,163.00",4.35%
10/29/2021,ARKQ,"KOMATSU LTD -SPONS ADR",KMTUY,500458401,"3,802,315","$103,346,921.70",3.90%
10/29/2021,ARKQ,"3D SYSTEMS CORP",DDD,88554D205,"3,584,109","$99,996,641.10",3.78%
10/29/2021,ARKQ,"JD.COM INC-ADR",JD,47215P106,"1,234,007","$99,855,846.44",3.77%
10/29/2021,ARKQ,"LOCKHEED MARTIN CORP",LMT,539830109,"254,082","$84,200,233.98",3.18%
10/29/2021,ARKQ,"DEERE & CO",DE,244199105,"227,922","$79,704,323.40",3.01%
10/29/2021,ARKQ,"NIU TECHNOLOGIES-SPONS ADR",NIU,65481N100,"2,784,500","$71,589,495.00",2.70%
10/29/2021,ARKQ,"TUSIMPLE HOLDINGS INC - A",TSP,90089L108,"1,797,897","$71,250,658.11",2.69%
10/29/2021,ARKQ,"TERADYNE INC",TER,880770102,"470,218","$64,424,568.18",2.43%
10/29/2021,ARKQ,"MARKFORGED HOLDING CORP",MKFG,57064N102,"9,400,318","$63,358,143.32",2.39%
10/29/2021,ARKQ,"AEROVIRONMENT INC",AVAV,008073108,"695,880","$61,641,050.40",2.33%
10/29/2021,ARKQ,"ALPHABET INC-CL C",GOOG,02079K107,"21,097","$61,657,670.26",2.33%
10/29/2021,ARKQ,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"9,804,733","$57,651,830.04",2.18%
10/29/2021,ARKQ,"MAGNA INTERNATIONAL INC",MGA,559222401,"690,529","$55,808,553.78",2.11%
10/29/2021,ARKQ,"BLADE AIR MOBILITY INC",BLDE,092667104,"5,172,334","$49,344,066.36",1.86%
10/29/2021,ARKQ,"CATERPILLAR INC",CAT,149123101,"213,091","$43,489,742.19",1.64%
10/29/2021,ARKQ,"ARCHER AVIATION INC-A",ACHR,03945R102,"7,206,522","$40,644,784.08",1.54%
10/29/2021,ARKQ,"VELO3D INC",VLD,92259N104,"3,883,418","$40,271,044.66",1.52%
