date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/29/2021,ARKW,"TESLA INC",TSLA,88160R101,"555,760","$598,575,750.40",10.91%
10/29/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"7,916,986","$385,438,463.41",7.03%
10/29/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,076,407","$343,513,765.91",6.26%
10/29/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"2,063,163","$307,782,656.34",5.61%
10/29/2021,ARKW,"TWITTER INC",TWTR,90184L102,"5,062,069","$274,819,726.01",5.01%
10/29/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"859,598","$248,380,842.10",4.53%
10/29/2021,ARKW,"ROKU INC",ROKU,77543R102,"737,654","$236,462,366.24",4.31%
10/29/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"1,538,177","$227,757,868.39",4.15%
10/29/2021,ARKW,"SQUARE INC - A",SQ,852234103,"856,687","$223,878,013.71",4.08%
10/29/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"142,920","$208,234,440.00",3.80%
10/29/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"702,260","$194,231,070.80",3.54%
10/29/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"3,571,218","$168,490,065.24",3.07%
10/29/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"566,581","$161,435,924.33",2.94%
10/29/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"5,214,058","$133,688,447.12",2.44%
10/29/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"1,323,100","$130,457,660.00",2.38%
10/29/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"2,435,442","$124,670,275.98",2.27%
10/29/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"1,270,935","$105,169,871.25",1.92%
10/29/2021,ARKW,"SPLUNK INC",SPLK,848637104,"552,770","$90,930,665.00",1.66%
10/29/2021,ARKW,"ETSY INC",ETSY,29786A106,"354,007","$85,935,199.25",1.57%
10/29/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,"457,536","$84,209,500.80",1.54%
10/29/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,"6,978,344","$80,879,006.96",1.47%
10/29/2021,ARKW,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"2,251,709","$79,868,118.23",1.46%
10/29/2021,ARKW,"PAGERDUTY INC",PD,69553P100,"1,748,821","$73,660,340.52",1.34%
10/29/2021,ARKW,"LIVEPERSON INC",LPSN,538146101,"1,343,855","$71,210,876.45",1.30%
10/29/2021,ARKW,"WALT DISNEY CO/THE",DIS,254687106,"386,193","$65,529,228.24",1.19%
