date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
10/29/2021,IZRL,"AUGWIND ENERGY TECH STORAGE",AUGN,B290CJ7,"226,914","$4,526,372.27",1.72%
10/29/2021,IZRL,"PERION NETWORK LTD",PERI,M78673114,"159,659","$4,416,167.94",1.67%
10/29/2021,IZRL,"CELLCOM ISRAEL LTD",CEL,B23WQK8,"1,073,176","$4,050,744.93",1.54%
10/29/2021,IZRL,"COLLPLANT BIOTECHNOLOGIES LT","CLGN UQ",M2R51X116,"187,996","$4,058,833.64",1.54%
10/29/2021,IZRL,"SOLAREDGE TECHNOLOGIES INC",SEDG,83417M104,"11,404","$4,009,418.32",1.52%
10/29/2021,IZRL,"PARTNER COMMUNICATIONS CO",PTNR,6374420,"783,632","$3,956,185.96",1.50%
10/29/2021,IZRL,"ICECURE MEDICAL LTD",ICCM,B67PC92,"528,307","$3,934,786.41",1.49%
10/29/2021,IZRL,"ELBIT SYSTEMS LTD",ESLT,6308913,"24,232","$3,814,856.64",1.45%
10/29/2021,IZRL,"PLASSON INDUSTRIES LTD",PLSN,6094728,"51,077","$3,823,549.33",1.45%
10/29/2021,IZRL,"KORNIT DIGITAL LTD",KRNT,M6372Q113,"23,060","$3,808,128.40",1.44%
10/29/2021,IZRL,"KAMADA LTD",KMDA,B0L2CR5,"660,120","$3,777,122.63",1.43%
10/29/2021,IZRL,"WALKME LTD",WKME,M97628107,"143,388","$3,749,596.20",1.42%
10/29/2021,IZRL,"ONE SOFTWARE TECHNOLOGIES LT",ONE,6987709,"217,305","$3,715,748.57",1.41%
10/29/2021,IZRL,"INMODE LTD",INMD,M5425M103,"41,414","$3,685,846.00",1.40%
10/29/2021,IZRL,"STRATASYS LTD",SSYS,M85548101,"119,330","$3,690,876.90",1.40%
10/29/2021,IZRL,"COMPUGEN LTD",CGEN,M25722105,"564,141","$3,661,275.09",1.39%
10/29/2021,IZRL,"ABRA INFORMATION TECHNOLOGIE",ABRA,B2NB586,"2,782,500","$3,666,253.60",1.39%
10/29/2021,IZRL,"ARAD LTD",ARD,B0G7VP6,"246,300","$3,668,844.56",1.39%
10/29/2021,IZRL,"DANEL (ADIR YEOSHUA) LTD",DANE,6253433,"17,370","$3,668,055.51",1.39%
10/29/2021,IZRL,"MATRIX IT LTD",MTRX,6747754,"133,972","$3,634,222.91",1.38%
10/29/2021,IZRL,"FATTAL HOLDINGS 1998 LTD",FTAL,BG1YKN5,"33,982","$3,650,328.33",1.38%
10/29/2021,IZRL,"BEZEQ THE ISRAELI TELECOM CO",BEZQ,6098032,"2,884,874","$3,612,362.38",1.37%
10/29/2021,IZRL,"E & M COMPUTING",EMCO,6302216,"542,411","$3,600,869.66",1.37%
10/29/2021,IZRL,"INNOVIZ TECHNOLOGIES LTD","INVZ UR",M5R635108,"696,061","$3,619,517.20",1.37%
10/29/2021,IZRL,"NOVA LTD",NVMI,M7516K103,"34,342","$3,606,940.26",1.37%
10/29/2021,IZRL,"BET SHEMESH ENGINES HOLDINGS",BSEN,6103936,"141,958","$3,579,802.63",1.36%
10/29/2021,IZRL,"TOWER SEMICONDUCTOR LTD",TSEM,M87915274,"111,956","$3,588,189.80",1.36%
10/29/2021,IZRL,"TUFIN SOFTWARE TECHNOLOGIES",TUFN,M8893U102,"360,991","$3,588,250.54",1.36%
10/29/2021,IZRL,"MAGIC SOFTWARE ENTERPRISES",MGIC,6328074,"167,966","$3,566,084.96",1.35%
10/29/2021,IZRL,"NICE LTD - SPON ADR",NICE,653656108,"12,720","$3,565,416.00",1.35%
10/29/2021,IZRL,"MALAM - TEAM LTD",MLTM,6875923,"105,389","$3,548,170.74",1.35%
10/29/2021,IZRL,"PLAYTIKA HOLDING CORP",PLTK,72815L107,"122,716","$3,559,991.16",1.35%
10/29/2021,IZRL,"NAYAX LTD",NYAX,BMXT7N9,"997,109","$3,549,283.13",1.35%
10/29/2021,IZRL,"VASCULAR BIOGENICS LTD",VBLT,M96883109,"1,511,685","$3,552,459.75",1.35%
10/29/2021,IZRL,"MONDAY.COM LTD",MNDY,M7S64H106,"9,482","$3,521,709.62",1.34%
10/29/2021,IZRL,"SILICOM LTD",SILC,M84116108,"83,985","$3,527,370.00",1.34%
10/29/2021,IZRL,"NANO DIMENSION LTD - ADR",NNDM,63008G203,"602,562","$3,543,064.56",1.34%
10/29/2021,IZRL,"SAPIENS INTERNATIONAL CORP",SPNS,G7T16G103,"103,126","$3,545,471.88",1.34%
10/29/2021,IZRL,"HILAN LTD",HLAN,6267230,"63,966","$3,538,725.38",1.34%
10/29/2021,IZRL,"PRIORTECH LTD",PRTC,6677776,"112,126","$3,504,890.11",1.33%
10/29/2021,IZRL,"BATM ADVANCED COMMUNICATIONS",BATM,B85PTW0,"3,072,503","$3,494,725.69",1.33%
10/29/2021,IZRL,"CERAGON NETWORKS LTD",CRNT,M22013102,"1,027,769","$3,504,692.29",1.33%
10/29/2021,IZRL,"CYBERARK SOFTWARE LTD/ISRAEL",CYBR,M2682V108,"19,529","$3,469,131.56",1.32%
10/29/2021,IZRL,"RADWARE LTD",RDWR,M81873107,"100,143","$3,481,972.11",1.32%
10/29/2021,IZRL,"BIOLINERX LTD-SPONS ADR","BLRX ",09071M205,"1,204,286","$3,456,300.82",1.31%
10/29/2021,IZRL,"ALLOT LTD",ALLT,M0854Q105,"234,147","$3,446,643.84",1.31%
10/29/2021,IZRL,"UROGEN PHARMA LTD","URGN UQ",M96088105,"211,905","$3,445,575.30",1.31%
10/29/2021,IZRL,"AQUARIUS ENGINES AM LTD",AQUA,BN7JJ92,"282,466","$3,437,846.87",1.30%
10/29/2021,IZRL,"WIX.COM LTD",WIX,M98068105,"17,743","$3,423,511.85",1.30%
10/29/2021,IZRL,"ITURAN LOCATION AND CONTROL",ITRN,M6158M104,"132,512","$3,440,011.52",1.30%
10/29/2021,IZRL,"CAMTEK LTD",CAMT,M20791105,"89,310","$3,424,145.40",1.30%
10/29/2021,IZRL,"ELECTRA CONSUMER PRODUCTS 19",ECP,B536CY7,"72,352","$3,389,677.36",1.29%
10/29/2021,IZRL,"CHECK POINT SOFTWARE TECH",CHKP,M22465104,"28,664","$3,403,276.72",1.29%
10/29/2021,IZRL,"MEDIWOUND LTD",MDWD,M68830104,"947,960","$3,412,656.00",1.29%
10/29/2021,IZRL,"SIMILARWEB LTD",SMWB,M84137104,"173,699","$3,369,760.60",1.28%
10/29/2021,IZRL,"RADA ELECTRONIC INDS LTD",RADA,M81863124,"332,058","$3,373,709.28",1.28%
10/29/2021,IZRL,"AUDIOCODES LTD",AUDC,M15342104,"97,494","$3,376,217.22",1.28%
10/29/2021,IZRL,"GILAT SATELLITE NETWORKS LTD",GILT,M51474118,"406,892","$3,377,203.60",1.28%
10/29/2021,IZRL,"ENTERA BIO LTD",ENTX,M40527109,"785,172","$3,344,832.72",1.27%
10/29/2021,IZRL,"NANO-X IMAGING LTD",NNOX,M70700105,"147,607","$3,359,535.32",1.27%
10/29/2021,IZRL,"TARO PHARMACEUTICAL INDUS",TARO,M8737E108,"55,961","$3,348,706.24",1.27%
10/29/2021,IZRL,"GAMIDA CELL LTD",GMDA,M47364100,"853,517","$3,320,181.13",1.26%
10/29/2021,IZRL,"EVOGENE LTD",EVGN,B289530,"1,245,731","$3,302,075.19",1.25%
